instance_type,instance_seed,m,q,horizon,utility,method,evaluated_objective,exposure_entropy,covered_groups_tau_1.0,runtime_sec,planning_calls,objective_evaluations,initial_distribution_residual,flow_residual,max_flow_residual,layer_mass_error,min_occupancy
allocation_scaling,3000,16,5,60,log,Additive,10.066893636153093,1.0475300118804927,3,0.0019420000026002526,1,1,0.0,0.0,0.0,1.1102230246251565e-15,0.0
allocation_scaling,3000,16,5,60,log,OCG K=20,27.984355640427026,2.7619683393445165,16,0.018306299985852093,20,20,1.3877787807814457e-17,1.1102230246251565e-16,1.1102230246251565e-16,1.1102230246251565e-15,0.0
allocation_scaling,3000,16,5,60,log,OCG K=40,28.11254741828526,2.7600468341915096,16,0.034637700009625405,40,40,5.551115123125783e-17,1.1102230246251565e-16,1.1102230246251565e-16,1.5543122344752192e-15,0.0
allocation_scaling,3000,16,5,60,log,FW K=40,27.930025540641118,2.7616391287383046,16,0.08919200004311278,40,1757,5.551115123125783e-17,1.3877787807814457e-16,1.3877787807814457e-16,1.3322676295501878e-15,0.0
allocation_scaling,3001,16,5,60,soft,Additive,5.362109207264461,1.550110091708083,5,0.0009917000425048172,1,1,0.0,0.0,0.0,2.220446049250313e-16,0.0
allocation_scaling,3001,16,5,60,soft,OCG K=20,15.841902720036,2.768989543333295,16,0.019965599989518523,20,20,5.551115123125783e-17,1.3877787807814457e-16,1.3877787807814457e-16,8.881784197001252e-16,0.0
allocation_scaling,3001,16,5,60,soft,OCG K=40,15.862577467165643,2.7711991950967594,16,0.03524250001646578,40,40,2.7755575615628914e-17,1.1102230246251565e-16,1.1102230246251565e-16,8.881784197001252e-16,0.0
allocation_scaling,3001,16,5,60,soft,FW K=40,15.85403567443776,2.771879286372709,16,0.0915283000213094,40,1757,5.551115123125783e-17,1.3877787807814457e-16,1.3877787807814457e-16,8.881784197001252e-16,0.0
allocation_scaling,3001,16,5,60,log,Additive,14.460056360823252,1.550110091708083,5,0.0007959000067785382,1,1,0.0,0.0,0.0,2.220446049250313e-16,0.0
allocation_scaling,3001,16,5,60,log,OCG K=20,28.242016766818182,2.758283051115363,16,0.01790969999274239,20,20,5.551115123125783e-17,8.326672684688674e-17,8.326672684688674e-17,8.881784197001252e-16,0.0
allocation_scaling,3001,16,5,60,log,OCG K=40,28.269192221433958,2.7580872492565742,16,0.03513189998921007,40,40,5.551115123125783e-17,8.326672684688674e-17,8.326672684688674e-17,6.661338147750939e-16,0.0
allocation_scaling,3001,16,5,60,log,FW K=40,28.224331889057304,2.760084461194095,16,0.08849860000191256,40,1757,1.6653345369377348e-16,1.3877787807814457e-16,1.6653345369377348e-16,8.881784197001252e-16,0.0
allocation_scaling,3002,16,5,60,soft,Additive,4.966663099511406,1.432445218910265,5,0.000797599961515516,1,1,0.0,0.0,0.0,7.771561172376096e-16,0.0
