instance_type,instance_seed,utility,K,method,objective,reference_objective,relative_gap
allocation,2004,soft,40,FW,7.90713164708943,7.920479678260709,0.0016852554028912834
allocation,2004,log,5,FW,13.595609782160093,13.83002147270667,0.01694948131564261
allocation,2004,log,10,FW,13.688692103104678,13.83002147270667,0.010219027488923548
allocation,2004,log,20,FW,13.737611326782256,13.83002147270667,0.006681851225378416
allocation,2004,log,40,FW,13.77362114052363,13.83002147270667,0.00407810879356517
allocation,2005,soft,5,FW,7.908459015005553,7.941283729899701,0.004133426787228347
allocation,2005,soft,10,FW,7.927364634275209,7.941283729899701,0.001752751330629978
allocation,2005,soft,20,FW,7.931564655985262,7.941283729899701,0.0012238668513813893
allocation,2005,soft,40,FW,7.9334392961568465,7.941283729899701,0.0009878042404302258
allocation,2005,log,5,FW,14.103638903096336,14.233851499414254,0.009148092933474569
allocation,2005,log,10,FW,14.136624798892772,14.233851499414254,0.0068306670563116935
allocation,2005,log,20,FW,14.167176969842505,14.233851499414254,0.004684222648697212
allocation,2005,log,40,FW,14.18961506235507,14.233851499414254,0.0031078332565857973
allocation,2006,soft,5,FW,7.868539349855365,7.924947924900986,0.007117848038897479
allocation,2006,soft,10,FW,7.894035959249932,7.924947924900986,0.003900589119825796
allocation,2006,soft,20,FW,7.901407898734336,7.924947924900986,0.0029703698232117844
allocation,2006,soft,40,FW,7.909463428731367,7.924947924900986,0.0019538924818628964
allocation,2006,log,5,FW,13.736849407958994,14.030435195408169,0.020924923807442427
allocation,2006,log,10,FW,13.845418273149985,14.030435195408169,0.013186827042879993
allocation,2006,log,20,FW,13.923153440097842,14.030435195408169,0.007646359775457107
allocation,2006,log,40,FW,13.969039991538622,14.030435195408169,0.0043758588393351784
allocation,2007,soft,5,FW,7.795544858123014,7.899050168196369,0.013103513443944696
allocation,2007,soft,10,FW,7.86877736774885,7.899050168196369,0.0038324608405964026
allocation,2007,soft,20,FW,7.877664263784058,7.899050168196369,0.0027074020239061178
allocation,2007,soft,40,FW,7.882424069604088,7.899050168196369,0.0021048225088152483
allocation,2007,log,5,FW,13.331114926378913,13.659021699503182,0.024006607525647025
allocation,2007,log,10,FW,13.426239689890837,13.659021699503182,0.017042363262429836
allocation,2007,log,20,FW,13.514067192578832,13.659021699503182,0.01061236376318388
allocation,2007,log,40,FW,13.584005499228688,13.659021699503182,0.005492062456949035
