instance_type,instance_seed,utility,method,K,evaluated_objective,history_min_delta,runtime_sec,planning_calls,objective_evaluations,line_search_tolerance,initial_distribution_residual,flow_residual,max_flow_residual,layer_mass_error,min_occupancy
gridworld,1007,soft,FW K=5,5,10.338072545476756,0.09164410877023244,0.033387500036042184,5,182,1e-08,0.0,1.1102230246251565e-16,1.1102230246251565e-16,8.881784197001252e-16,0.0
gridworld,1007,soft,FW K=10,10,10.484022484396185,0.005716971596248399,0.06430369999725372,10,407,1e-08,0.0,2.220446049250313e-16,2.220446049250313e-16,7.771561172376096e-16,0.0
gridworld,1007,soft,FW K=20,20,10.533097319770068,0.0010521208321669917,0.13209119997918606,20,857,1e-08,0.0,2.220446049250313e-16,2.220446049250313e-16,8.881784197001252e-16,0.0
gridworld,1007,soft,FW K=40,40,10.555329621606429,0.00045986364185246487,0.2513642000267282,40,1757,1e-08,0.0,3.3306690738754696e-16,3.3306690738754696e-16,7.771561172376096e-16,0.0
gridworld,1007,log,FW K=5,5,13.655195093728876,0.12109149322181878,0.02829869999550283,5,182,1e-08,0.0,1.1102230246251565e-16,1.1102230246251565e-16,6.661338147750939e-16,0.0
gridworld,1007,log,FW K=10,10,13.800966310951903,0.009417237642788123,0.05951709998771548,10,407,1e-08,0.0,2.220446049250313e-16,2.220446049250313e-16,6.661338147750939e-16,0.0
gridworld,1007,log,FW K=20,20,13.83420837708428,0.001058783487383863,0.1268739000079222,20,857,1e-08,0.0,3.3306690738754696e-16,3.3306690738754696e-16,6.661338147750939e-16,0.0
gridworld,1007,log,FW K=40,40,13.864824135807918,0.00021027302917531188,0.255400899972301,40,1757,1e-08,0.0,3.3306690738754696e-16,3.3306690738754696e-16,6.661338147750939e-16,0.0
gridworld,1008,soft,FW K=5,5,8.878589808596208,0.9519703081227977,0.030191399971954525,5,182,1e-08,0.0,8.326672684688674e-17,8.326672684688674e-17,6.661338147750939e-16,0.0
gridworld,1008,soft,FW K=10,10,10.137171326003987,0.06741714472364535,0.07012140000006184,10,407,1e-08,1.1102230246251565e-16,1.1102230246251565e-16,1.1102230246251565e-16,7.771561172376096e-16,0.0
gridworld,1008,soft,FW K=20,20,10.27065322295061,0.0027669580462408305,0.12440279999282211,20,857,1e-08,1.1102230246251565e-16,1.1102230246251565e-16,1.1102230246251565e-16,8.881784197001252e-16,0.0
gridworld,1008,soft,FW K=40,40,10.321865696971042,0.0005197194397048577,0.25250529998447746,40,1757,1e-08,0.0,1.1102230246251565e-16,1.1102230246251565e-16,1.1102230246251565e-15,0.0
gridworld,1008,log,FW K=5,5,12.542094277250898,0.6247010746045234,0.029567799996584654,5,182,1e-08,0.0,5.551115123125783e-17,5.551115123125783e-17,6.661338147750939e-16,0.0
gridworld,1008,log,FW K=10,10,13.277651462946102,0.02469490167028532,0.057808499957900494,10,407,1e-08,2.220446049250313e-16,2.220446049250313e-16,2.220446049250313e-16,5.551115123125783e-16,0.0
gridworld,1008,log,FW K=20,20,13.38673805660876,0.0031522479351142607,0.12409960001241416,20,857,1e-08,0.0,3.3306690738754696e-16,3.3306690738754696e-16,5.551115123125783e-16,0.0
gridworld,1008,log,FW K=40,40,13.444275912978645,0.0008231619255738565,0.24980470002628863,40,1757,1e-08,0.0,3.3306690738754696e-16,3.3306690738754696e-16,4.440892098500626e-16,0.0
gridworld,1009,soft,FW K=5,5,10.354509909760313,0.1284805198404282,0.02917549997800961,5,182,1e-08,0.0,2.220446049250313e-16,2.220446049250313e-16,6.661338147750939e-16,0.0
gridworld,1009,soft,FW K=10,10,10.719847264607873,0.009303366708206084,0.05978460004553199,10,407,1e-08,0.0,2.220446049250313e-16,2.220446049250313e-16,7.771561172376096e-16,0.0
gridworld,1009,soft,FW K=20,20,10.789200216486627,0.0019458612752636384,0.13173369999276474,20,857,1e-08,0.0,2.220446049250313e-16,2.220446049250313e-16,8.881784197001252e-16,0.0
gridworld,1009,soft,FW K=40,40,10.815406108807498,0.00031875542948078817,0.24950520001584664,40,1757,1e-08,0.0,4.440892098500626e-16,4.440892098500626e-16,8.881784197001252e-16,0.0
gridworld,1009,log,FW K=5,5,14.610808213761722,0.09491756115115813,0.028157399967312813,5,182,1e-08,0.0,1.1102230246251565e-16,1.1102230246251565e-16,7.771561172376096e-16,0.0
gridworld,1009,log,FW K=10,10,14.79750339027264,0.0036331263715361217,0.059899099986068904,10,407,1e-08,0.0,2.220446049250313e-16,2.220446049250313e-16,7.771561172376096e-16,0.0
gridworld,1009,log,FW K=20,20,14.832998108731289,0.001923195631606589,0.12551719998009503,20,857,1e-08,0.0,3.3306690738754696e-16,3.3306690738754696e-16,5.551115123125783e-16,0.0
gridworld,1009,log,FW K=40,40,14.85668644970957,0.0006391569417871779,0.2465333000291139,40,1757,1e-08,0.0,4.440892098500626e-16,4.440892098500626e-16,7.771561172376096e-16,0.0
allocation,2000,soft,FW K=5,5,7.889691228071462,0.028291117958548107,0.004235800006426871,5,182,1e-08,1.1102230246251565e-16,8.326672684688674e-17,1.1102230246251565e-16,4.440892098500626e-16,0.0
allocation,2000,soft,FW K=10,10,7.914584745285772,0.002454041953098951,0.010027099982835352,10,407,1e-08,5.551115123125783e-17,8.326672684688674e-17,8.326672684688674e-17,2.220446049250313e-16,0.0
allocation,2000,soft,FW K=20,20,7.921597078052204,7.323728820196607e-05,0.020141599990893155,20,857,1e-08,1.1102230246251565e-16,1.1102230246251565e-16,1.1102230246251565e-16,4.440892098500626e-16,0.0
allocation,2000,soft,FW K=40,40,7.923008740590356,3.168890942006897e-05,0.039931499981321394,40,1757,1e-08,1.1102230246251565e-16,1.3877787807814457e-16,1.3877787807814457e-16,4.440892098500626e-16,0.0
allocation,2000,log,FW K=5,5,14.03281852798288,0.007868035004678475,0.0037870999658480287,5,182,1e-08,2.7755575615628914e-17,8.326672684688674e-17,8.326672684688674e-17,4.440892098500626e-16,0.0
allocation,2000,log,FW K=10,10,14.051334293224738,0.0025512666650833182,0.007978999987244606,10,407,1e-08,2.7755575615628914e-17,1.1102230246251565e-16,1.1102230246251565e-16,4.440892098500626e-16,0.0
allocation,2000,log,FW K=20,20,14.068531464879307,0.0008615503339779451,0.021799999987706542,20,857,1e-08,8.326672684688674e-17,1.1102230246251565e-16,1.1102230246251565e-16,6.661338147750939e-16,0.0
allocation,2000,log,FW K=40,40,14.08660283612396,0.0005497355389909586,0.03696140000829473,40,1757,1e-08,2.7755575615628914e-16,1.942890293094024e-16,2.7755575615628914e-16,6.661338147750939e-16,0.0
allocation,2001,soft,FW K=5,5,7.9002242658743915,0.010862491643939265,0.003957800043281168,5,182,1e-08,5.551115123125783e-17,1.1102230246251565e-16,1.1102230246251565e-16,3.3306690738754696e-16,0.0
allocation,2001,soft,FW K=10,10,7.90780684817489,0.0002649319710856801,0.010116600024048239,10,407,1e-08,5.551115123125783e-17,1.3877787807814457e-16,1.3877787807814457e-16,2.220446049250313e-16,0.0
allocation,2001,soft,FW K=20,20,7.910569073008672,0.00017147656066196504,0.02185369998915121,20,857,1e-08,1.6653345369377348e-16,1.1102230246251565e-16,1.6653345369377348e-16,2.220446049250313e-16,0.0
allocation,2001,soft,FW K=40,40,7.913106332974225,5.673825685370559e-05,0.04215040005510673,40,1757,1e-08,1.1102230246251565e-16,1.6653345369377348e-16,1.6653345369377348e-16,2.220446049250313e-16,0.0
allocation,2001,log,FW K=5,5,13.763754025864207,0.022231974262657772,0.003836299991235137,5,182,1e-08,5.551115123125783e-17,1.1102230246251565e-16,1.1102230246251565e-16,4.440892098500626e-16,0.0
allocation,2001,log,FW K=10,10,13.800376427368404,0.0047572919307157235,0.008386500005144626,10,407,1e-08,5.551115123125783e-17,8.326672684688674e-17,8.326672684688674e-17,4.440892098500626e-16,0.0
allocation,2001,log,FW K=20,20,13.832206820928832,0.0017010695412817967,0.01900289999321103,20,857,1e-08,1.1102230246251565e-16,1.1102230246251565e-16,1.1102230246251565e-16,4.440892098500626e-16,0.0
allocation,2001,log,FW K=40,40,13.853160951697562,0.0005150017585044964,0.03898219997063279,40,1757,1e-08,1.1102230246251565e-16,1.6653345369377348e-16,1.6653345369377348e-16,2.220446049250313e-16,0.0
allocation,2002,soft,FW K=5,5,7.878605671731254,0.017935397734399672,0.004015500016976148,5,182,1e-08,5.551115123125783e-17,8.326672684688674e-17,8.326672684688674e-17,4.440892098500626e-16,0.0
allocation,2002,soft,FW K=10,10,7.912571562912548,0.0033728282614600147,0.010985199944116175,10,407,1e-08,5.551115123125783e-17,8.326672684688674e-17,8.326672684688674e-17,6.661338147750939e-16,0.0
allocation,2002,soft,FW K=20,20,7.918406400093492,0.00010551517967272162,0.01873619999969378,20,857,1e-08,5.551115123125783e-17,8.326672684688674e-17,8.326672684688674e-17,4.440892098500626e-16,0.0
allocation,2002,soft,FW K=40,40,7.921958146796761,7.398710495820637e-05,0.04092609998770058,40,1757,1e-08,1.1102230246251565e-16,1.3877787807814457e-16,1.3877787807814457e-16,4.440892098500626e-16,0.0
allocation,2002,log,FW K=5,5,13.999200955403555,0.036811686801510035,0.004465100006200373,5,182,1e-08,5.551115123125783e-17,8.326672684688674e-17,8.326672684688674e-17,6.661338147750939e-16,0.0
allocation,2002,log,FW K=10,10,14.036223141135668,0.005217650136698282,0.008075899968389422,10,407,1e-08,1.1102230246251565e-16,8.326672684688674e-17,1.1102230246251565e-16,6.661338147750939e-16,0.0
allocation,2002,log,FW K=20,20,14.069044379669688,0.0014480612243410462,0.019378199998755008,20,857,1e-08,5.551115123125783e-17,8.326672684688674e-17,8.326672684688674e-17,6.661338147750939e-16,0.0
allocation,2002,log,FW K=40,40,14.104429757337487,0.0006668135116516538,0.03876129997661337,40,1757,1e-08,1.6653345369377348e-16,1.1102230246251565e-16,1.6653345369377348e-16,8.881784197001252e-16,0.0
allocation,2003,soft,FW K=5,5,7.709907716896767,0.2730336437864924,0.004077900026459247,5,182,1e-08,1.1102230246251565e-16,1.6653345369377348e-16,1.6653345369377348e-16,6.661338147750939e-16,0.0
allocation,2003,soft,FW K=10,10,7.849592839150076,0.00506852186985185,0.010313100006897002,10,407,1e-08,5.551115123125783e-17,1.6653345369377348e-16,1.6653345369377348e-16,6.661338147750939e-16,0.0
allocation,2003,soft,FW K=20,20,7.858077366876882,0.0003583169567420441,0.019347499997820705,20,857,1e-08,2.7755575615628914e-17,1.1102230246251565e-16,1.1102230246251565e-16,6.661338147750939e-16,0.0
allocation,2003,soft,FW K=40,40,7.869172840441898,0.00016510697024330057,0.03833660000236705,40,1757,1e-08,3.469446951953614e-18,1.6653345369377348e-16,1.6653345369377348e-16,4.440892098500626e-16,0.0
allocation,2003,log,FW K=5,5,13.46966711450543,0.11362860823970067,0.004067900008521974,5,182,1e-08,2.7755575615628914e-17,1.1102230246251565e-16,1.1102230246251565e-16,6.661338147750939e-16,0.0
allocation,2003,log,FW K=10,10,13.58878549984625,0.00883399509211813,0.009204200003296137,10,407,1e-08,1.1102230246251565e-16,1.1102230246251565e-16,1.1102230246251565e-16,6.661338147750939e-16,0.0
allocation,2003,log,FW K=20,20,13.634439911866771,0.002350022725984502,0.019543400034308434,20,857,1e-08,6.938893903907228e-18,1.1102230246251565e-16,1.1102230246251565e-16,6.661338147750939e-16,0.0
